pid,mid
1,3895
2,1280
3,83
4,44
5,99
6,7
7,297
8,2788
9,1837
10,1901
11,4521
12,501
13,1173
14,5276
15,67
16,950
17,2695
22,12
23,51
24,6
25,138
26,5652
27,126
28,5436
29,6625
30,4733
32,2780
36,4012
37,1866
38,408
39,2254
40,69
41,1145
42,2908
43,1116
44,651
45,95
46,3786
47,7700
48,53
49,3733
50,1336
51,1409
52,3606
53,33
54,3724
55,5054
56,928
58,3622
60,4605
61,13
62,1279
65,505
66,967
68,358
69,502
70,2
73,550
74,5719
75,887
76,508
77,14
78,667
79,2357
80,1
81,224
82,1157
84,1604
85,3462
86,5436
90,610
91,2975
93,1106
96,961
97,1025
100,122
101,13
102,128
103,1520
105,254
106,1172
108,6
109,148
110,6675
111,1476
112,2152
114,155
116,403
117,2
118,719
119,35
121,823
123,534
125,882
126,1361
127,1424
128,1947
129,1138
130,969
132,4391
133,502
134,460
135,1159
137,1
138,4012
139,4440
140,7304
141,23
143,836
145,2077
146,467
147,2817
148,8702
149,177
150,2
151,1267
152,3977
153,4329
154,858
155,488
156,7836
157,393
158,2168
159,110
160,2434
161,989
162,5
163,1516
165,1267
166,560
167,2048
168,27
170,34
171,2234
172,2490
173,442
174,751
175,1160
176,54
178,2589
179,1191
180,2475
181,286
182,234
183,154
184,333
185,1985
187,1082
189,1516
190,67
191,807
193,105
195,91
196,7732
197,14
199,50
200,608
201,186
202,3916
